gene	value
A1BG	6.65394354329485
A1BG-AS1	6.43412198800621
A1CF	8.006891359433
A2M	14.2547518847852
A2M-AS1	7.28758107696443
A2ML1	4.02751032054481
A2MP1	3.06166313644635
A3GALT2	2.24262771212605
A4GALT	8.17466853818476
A4GNT	9.02730397031557
AA06	0.0
AAAS	10.1527467005807
AACS	10.1450905113041
AACSP1	2.49667875232163
AADAC	8.50344515524377
AADACL2	0.965847184098456
AADACL2-AS1	5.90514185716517
AADACL3	0.0
AADACL4	0.0
AADACP1	5.17457651732141
AADAT	6.71669092405503
AAED1	8.3999415954091
AAGAB	10.6168146483791
AAK1	11.4479884545888
AAMDC	8.13442753870283
AAMP	11.7585148650895
AANAT	4.24230741445745
AAR2	10.5380135579284
AARD	3.23470156040625
AARS	12.5856331604684
AARS2	9.93127671948046
AARSD1	9.17034775609188
AASDH	9.40224187471127
AASDHPPT	9.98671500928652
AASS	10.9039820909712
AATBC	6.28553512792693
AATF	10.776902066111
AATK	9.33007983110614
ABALON	7.93373007472426
ABAT	10.1726463123629
ABCA1	12.3052922444101
ABCA10	7.84665969230447
ABCA11P	8.5086723642673
ABCA12	5.85891516309372
ABCA13	9.74604347961613
ABCA17P	4.87211385566517
ABCA2	10.0301141424991
ABCA3	9.04220703155025
ABCA4	9.33180116911721
ABCA5	10.1065503674713
ABCA6	9.68007573021253
ABCA7	8.90897604314368
ABCA8	8.53732008840584
ABCA9	8.95859926448583
ABCA9-AS1	0.0
ABCB1	8.07801064716393
ABCB10	9.99208052589977
ABCB11	9.77469089014458
ABCB4	8.51774220540042
ABCB5	6.10375029448867
ABCB6	8.58810425136594
ABCB7	10.4018100418992
ABCB8	9.28989055292988
ABCB9	8.25871470460133
ABCC1	11.0891763534419
ABCC10	9.53326397043437
ABCC11	2.89754155229537
ABCC12	0.0
ABCC13	1.13614803754568
ABCC2	6.44454322765034
ABCC3	12.5105444085724
ABCC4	10.7423271045154
ABCC5	10.9182758920881
ABCC5-AS1	1.53083156822318
ABCC6	8.46337869872468
ABCC6P1	5.64463790613646
ABCC6P2	5.18237143675723
ABCC8	9.45833893021737
ABCC9	13.1621713782859
ABCD1	8.54035917999824
ABCD2	6.71669092405503
ABCD3	11.8763879567203
ABCD4	9.56126600839084
ABCE1	11.5038498841434
ABCF1	11.0187031553868
ABCF2	10.9095542235282
ABCF3	10.3341519250649
ABCG1	10.4728122865437
ABCG2	8.0463926076853
ABCG4	2.24262771212605
ABCG5	4.53990646579111
ABCG8	4.91371165942717
ABHD1	3.57405928169266
ABHD10	10.0972555344653
ABHD11	10.7507720234656
ABHD11-AS1	7.26661112964794
ABHD12	11.1774599261683
ABHD12B	3.06166313644635
ABHD13	10.2441666080913
ABHD14A	8.01306570412929
ABHD14A-ACY1	5.09268979847337
ABHD14B	10.9027624744341
ABHD15	9.49422438042334
ABHD16A	10.568088601876
ABHD16B	7.47054750651436
ABHD17A	10.2916143440345
ABHD17B	9.21359440388989
ABHD17C	10.3656336873502
ABHD18	9.71588093317868
ABHD2	13.9557361862126
ABHD3	10.9482548547379
ABHD4	9.27921293023879
ABHD5	9.86664378186919
ABHD6	8.33463979208526
ABHD8	7.85164511065569
ABI1	11.4503673891557
ABI2	10.824221962275
ABI3	8.72724430563176
ABI3BP	8.99701097416121
ABL1	10.8412528242823
ABL2	11.5797207083612
ABLIM1	12.9073153085539
ABLIM2	8.56741678633592
ABLIM3	9.22084113096762
ABO	7.17263690169863
ABR	11.6727195431997
ABRA	2.24262771212605
ABRACL	9.65983194157351
ABRAXAS1	8.96700616634597
ABRAXAS2	9.665259106926
ABT1	9.85132481298709
ABTB1	8.91826556383445
ABTB2	9.29343165507136
ACAA1	10.6842461124845
ACAA2	10.7652671771932
ACACA	11.9248455226109
ACACB	10.4436470457762
ACAD10	9.67470607831613
ACAD11	9.65881199061221
ACAD8	10.0227995695726
ACAD9	10.3052911808384
ACADL	4.4852554242521
ACADM	10.6678565687618
ACADS	9.99315115441403
ACADSB	10.5474423838893
ACADVL	13.024992737796
ACAN	5.03153586388494
ACAP1	8.6055951455776
ACAP2	11.939150215294
ACAP3	10.0538809238486
ACAT1	10.0373905190482
ACAT2	9.42050438965911
