gene	value
A1BG	6.64270733801662
A1BG-AS1	6.99474011488008
A1CF	3.70854438823398
A2M	15.1711616780041
A2M-AS1	9.72359585910607
A2ML1	9.50670591069794
A2MP1	5.40412762834258
A3GALT2	1.00219019108815
A4GALT	9.69180135271657
A4GNT	4.6540271222162
AA06	0.0
AAAS	9.75263247924271
AACS	9.35583664345313
AACSP1	0.0
AADAC	4.6540271222162
AADACL2	2.00438038217629
AADACL2-AS1	6.52077631381917
AADACL3	0.0
AADACL4	2.00438038217629
AADACP1	4.46919862602663
AADAT	6.9694273291711
AAED1	8.24684137585777
AAGAB	10.1043242383277
AAK1	12.5063765836459
AAMDC	7.27328290886893
AAMP	10.5757814593278
AANAT	3.59281425364157
AAR2	9.88112905160504
AARD	4.11584558446495
AARS	11.3774595840369
AARS2	10.4472812969557
AARSD1	8.79433558618202
AASDH	9.91040148623495
AASDHPPT	9.90565043093615
AASS	11.0034650732872
AATBC	6.38900198589603
AATF	10.5446447552398
AATK	7.36482327314367
ABALON	8.66495504383493
ABAT	9.28002387086543
ABCA1	13.2827279165203
ABCA10	10.0813763474151
ABCA11P	8.92757266806761
ABCA12	5.29697825969926
ABCA13	7.05169433346511
ABCA17P	3.32920375219624
ABCA2	10.8558232123976
ABCA3	8.85223573115633
ABCA4	3.70854438823398
ABCA5	10.9557513636111
ABCA6	12.5840072023311
ABCA7	11.0226794444867
ABCA8	11.0304320358153
ABCA9	11.6669119929181
ABCA9-AS1	1.6028206052771
ABCB1	9.25923693707879
ABCB10	9.67038989240454
ABCB11	11.152470118909
ABCB4	9.55762015722075
ABCB5	8.06431127545842
ABCB6	7.97743585736131
ABCB7	10.6582306209249
ABCB8	9.29410698368894
ABCB9	7.12409348369327
ABCC1	11.723021553134
ABCC10	10.0091380287067
ABCC11	3.00657057326444
ABCC12	0.0
ABCC13	1.6028206052771
ABCC2	7.49210671570425
ABCC3	11.5458510369204
ABCC4	10.1135375581733
ABCC5	11.0610332800644
ABCC5-AS1	1.00219019108815
ABCC6	6.51264320951318
ABCC6P1	3.90577612682325
ABCC6P2	1.88774630581094
ABCC8	6.12190329260512
ABCC9	14.0284724674131
ABCD1	8.95915860104165
ABCD2	9.31497774442354
ABCD3	10.1545630278338
ABCD4	10.0204892533986
ABCE1	11.0310785545595
ABCF1	10.637958087019
ABCF2	10.6222433787382
ABCF3	9.94654973950269
ABCG1	11.1968972598079
ABCG2	7.77855051278396
ABCG4	3.46700843493848
ABCG5	2.59062406255342
ABCG8	1.58843387146528
ABHD1	4.81788394796544
ABHD10	9.9554473356971
ABHD11	9.27167375724983
ABHD11-AS1	4.33139394328439
ABHD12	9.97307993006529
ABHD12B	4.46919862602663
ABHD13	9.96429051200259
ABHD14A	7.58643503862286
ABHD14A-ACY1	0.0
ABHD14B	10.2822140619536
ABHD15	10.3711942514454
ABHD16A	9.78293089496025
ABHD16B	8.05652575802097
ABHD17A	10.32061729258
ABHD17B	9.17783367560182
ABHD17C	8.87426223707995
ABHD18	10.2280479424474
ABHD2	13.0621169913269
ABHD3	9.52065236488385
ABHD4	9.24178415919635
ABHD5	9.95396820020369
ABHD6	8.4447198846742
ABHD8	7.60908596900823
ABI1	11.621120544797
ABI2	11.3451599737962
ABI3	9.70053894466918
ABI3BP	11.1380833850972
ABL1	11.6234544513873
ABL2	12.3547492329124
ABLIM1	12.7861661615122
ABLIM2	7.2055716485542
ABLIM3	10.3331949938872
ABO	5.76749180548398
ABR	12.4484808730817
ABRA	5.74046569489639
ABRACL	8.97380771134739
ABRAXAS1	9.16596348489907
ABRAXAS2	9.74410233757606
ABT1	9.71994668329805
ABTB1	9.41503836308196
ABTB2	8.94435954841454
ACAA1	10.0732230091622
ACAA2	10.8261759401937
ACACA	11.2613243874882
ACACB	11.3352371765131
ACAD10	9.94208032383026
ACAD11	10.6850580271445
ACAD8	9.07239490467385
ACAD9	10.0752112249685
ACADL	6.24246099368148
ACADM	10.2703724329555
ACADS	8.92338304840461
ACADSB	10.9777216135007
ACADVL	12.4576226116731
ACAN	7.9599101298263
ACAP1	11.1943892716357
ACAP2	12.1918180069236
ACAP3	9.94357166467286
ACAT1	9.69714922780457
ACAT2	8.33608251174578
ACBD3	10.810106470101
ACBD3-AS1	5.91354882955387
ACBD4	8.92443913273507
ACBD5	10.6796928026023
ACBD6	10.0677617946667
ACBD7	9.61009125086618
ACBD7-DCLRE1CP1	0.0
ACCS	8.36701346423182
ACCSL	1.00219019108815
ACD	8.45727441928849
ACE	9.50054279428095
ACE2	4.46919862602663
ACER1	1.00219019108815
ACER2	7.58643503862286
ACER3	11.1947971158584
ACHE	6.5060714951268
ACIN1	12.3770044557083
ACKR1	10.4976615848042
ACKR2	6.10334480793236
ACKR3	9.41503836308196
ACKR4	7.79840237822287
ACLY	12.0968930220167
ACMSD	1.00219019108815
ACO1	10.8895313030277
ACO2	10.9009075981415
ACOD1	0.0
ACOT1	6.02327173944787
ACOT11	8.48562016314553
ACOT12	2.3270135611081
ACOT13	9.75116887383024
ACOT2	9.15841464829161
ACOT4	6.42342872704647
ACOT6	2.59062406255342
ACOT7	8.60376520908229
ACOT8	8.1648448454893
ACOT9	11.0448744433992
ACOX1	11.6300251340185
ACOX2	7.14489750907354
ACOX3	9.29644089027919
ACOXL	3.32920375219624
ACOXL-AS1	2.3270135611081
ACP1	10.4823397725555
ACP2	10.0469855232156
ACP4	1.58843387146528
ACP5	10.7437236417248
ACP6	8.87113606328106
ACP7	5.42802659921866
ACPP	6.18343831619499
ACR	3.17686774293056
ACRBP	5.96723713808295
ACRV1	2.3270135611081
ACSBG1	4.09641516593837
ACSBG2	4.46919862602663
ACSF2	9.20076250769023
ACSF3	9.85759318488826
ACSL1	11.8823933661556
ACSL3	10.9322840850778
ACSL4	11.4354424203658
ACSL5	11.8949567106546
ACSL6	8.98342440783989
ACSM1	6.37147625836102
ACSM2A	3.32630914698778
ACSM2B	0.0
ACSM3	7.37269634340125
ACSM4	4.1790579340187
ACSM5	7.11357812957199
ACSM6	3.59281425364157
ACSS1	10.408609423914
ACSS2	9.63576789593089
ACSS3	9.13891329619431
ACTA1	3.00657057326444
ACTA2	14.0533427317301
ACTA2-AS1	9.3467885849813
ACTB	16.5860882234107
ACTBL2	3.91544743257338
ACTC1	4.91763762366152
ACTG1	15.3441815260265
ACTG1P17	7.35199332120453
ACTG1P20	8.54403637538216
ACTG1P4	6.78300794176798
ACTG2	10.4311259718081
ACTL10	6.4899165246161
ACTL6A	9.77959558824775
ACTL6B	0.0
ACTL7A	2.3270135611081
ACTL7B	2.00438038217629
ACTL8	0.0
ACTL9	1.00219019108815
ACTN1	13.0010333806607
ACTN1-AS1	2.59062406255342
ACTN2	5.36928606727287
ACTN3	2.81350356578916
ACTN4	13.3125100799567
ACTR10	10.0913423047028
ACTR1A	11.4221017202696
ACTR1B	10.5939565193985
ACTR2	13.2023735203032
ACTR3	13.0617962241003
ACTR3B	7.51171155368995
ACTR3BP2	1.98619328930899
ACTR3BP5	3.92025893391453
ACTR3C	10.822073807671
ACTR5	9.19751984047351
ACTR6	8.8956505534592
ACTR8	10.4668538535202
ACTRT1	0.0
ACTRT2	0.0
ACTRT3	5.94372678562575
ACVR1	10.1783268389328
ACVR1B	9.69006168999109
ACVR1C	7.22524344614075
ACVR2A	10.0772103003235
ACVR2B	10.2513783838223
ACVR2B-AS1	5.25904093933156
ACVRL1	10.510810407599
ACY1	8.58099537127314
ACY3	6.95771993873815
ACYP1	6.99256149980786
ACYP2	8.09637840909165
ADA	8.65916872368105
ADA2	11.2422722097451
ADAD1	0.0
ADAD2	1.58843387146528
ADAL	8.17809685151065
ADAM10	12.4503249079005
ADAM11	4.71073457932213
ADAM12	11.8480652782438
ADAM15	11.2388806225988
ADAM17	11.410259209532
ADAM18	0.0
ADAM19	12.3629666498136
ADAM1A	9.44059169068009
ADAM2	0.0
ADAM20	7.53216065709102
ADAM20P1	7.22524344614075
ADAM21	6.29285223056196
ADAM21P1	2.67031856693616
ADAM22	10.759916703147
